Mode,MNLC,MASC,Station,Coverage,Source,Monday Entry,Midweek (Tue-Thu) Entry,Friday Entry,Saturday Entry,Sunday Entry,Monday Exit,Midweek (Tue-Thu) Exit,Friday Exit,Saturday Exit,Sunday Exit,Weekly En/Ex,12-week En/Ex,Annualised En/Ex
LU,556,DGHu,Dagenham Heathway,Station entry/exit,taps,"8,169","8,334","8,274","5,599","3,888","8,090","8,219","8,081","5,408","3,865","101,032","1,161,461","4,713,540"
LU,557,DEBu,Debden,Station entry/exit,taps,"3,136","3,607","3,239","2,075","1,210","3,147","3,518","3,139","2,026","1,243","40,588","466,594","1,893,570"
LU,558,DHLu,Dollis Hill,Station entry/exit,taps,"5,041","5,497","5,380","4,310","3,049","4,604","4,968","4,811","3,857","2,756","65,202","749,557","3,041,918"
LU,560,EBYu,Ealing Broadway,Station entry/exit,taps,"23,322","26,551","26,324","22,096","16,722","26,387","28,467","26,779","25,037","19,037","350,756","4,032,269","16,364,102"
LU,561,ECMu,Ealing Common,Station entry/exit,taps,"2,905","3,218","3,283","2,328","1,880","2,879","3,168","3,177","2,189","1,815","39,615","455,410","1,848,186"
LU,562,ECTu,Earl's Court,Station entry/exit,taps,"23,638","25,824","26,345","23,499","18,189","23,563","26,098","27,051","24,734","17,810","340,597","3,915,479","15,890,137"
LU,563,EACu,East Acton,Station entry/exit,taps,"5,761","6,201","5,826","4,327","3,101","5,920","6,331","5,797","4,179","3,187","75,695","870,188","3,531,471"
LU,565,EFYu,East Finchley,Station entry/exit,taps,"8,145","9,687","8,398","6,812","4,431","8,085","9,639","8,148","6,492","4,587","113,076","1,299,918","5,275,438"
LU,566,EHMu,East Ham,Station entry/exit,taps,"17,552","18,440","18,122","14,905","11,455","16,895","17,445","17,064","13,781","10,838","228,270","2,624,175","10,649,653"
LU,567,EPYu,East Putney,Station entry/exit,taps,"8,984","10,458","9,763","7,823","5,541","9,003","10,346","9,097","7,372","5,527","125,520","1,442,969","5,855,981"
LU,564,ETEu,Eastcote,Station entry/exit,taps,"3,478","3,953","3,564","2,540","1,596","3,349","3,822","3,463","2,432","1,666","45,414","522,078","2,118,740"
LU,568,EDGu,Edgware,Station entry/exit,taps,"6,213","6,761","6,241","5,005","3,780","6,143","6,731","6,196","4,904","3,754","82,715","950,891","3,858,986"
LU,774,ERBu,Edgware Road (Bak),Station entry/exit,taps,"5,234","6,170","5,579","4,721","3,170","5,503","6,458","5,747","5,261","3,227","76,325","877,421","3,560,827"
LU,569,ERDu,Edgware Road (DIS),Station entry/exit,taps,"9,188","10,153","9,351","7,758","5,627","8,754","9,733","9,131","7,754","5,178","122,399","1,407,086","5,710,360"
LU,570,ELEu,Elephant & Castle LU,Station entry/exit,taps,"20,452","22,751","23,066","21,389","13,903","19,756","22,332","22,441","20,515","13,445","290,216","3,336,306","13,539,687"
LU,571,EPKu,Elm Park,Station entry/exit,taps,"4,209","4,769","4,267","2,870","1,849","4,116","4,625","4,092","2,779","1,866","54,230","623,420","2,530,016"
LU,542,EMBu,Embankment,Station entry/exit,taps,"22,467","29,506","26,372","31,132","17,973","22,179","28,994","25,883","30,406","17,122","369,031","4,242,356","17,216,696"
LU,572,EPPu,Epping,Station entry/exit,taps,"4,836","5,656","5,109","5,024","3,233","4,876","5,493","5,072","4,806","3,425","69,830","802,759","3,257,825"
LU,574,EUSu,Euston LU,Station entry/exit,taps,"43,987","52,511","49,342","49,813","37,859","43,401","53,294","52,705","49,318","37,772","681,612","7,835,769","31,799,797"
LU,575,ESQu,Euston Square,Station entry/exit,taps,"18,837","21,791","17,889","11,460","8,185","20,060","22,929","20,160","11,957","9,069","251,777","2,894,408","11,746,338"
LU,576,FLPu,Fairlop,Station entry/exit,taps,"1,439","1,728","1,528","1,193",729,"1,407","1,631","1,462","1,180",721,"19,732","226,834","920,557"
LU,577,FARu,Farringdon,Station entry/exit,taps,"64,071","83,355","60,960","36,013","21,390","61,959","80,126","58,478","34,490","19,496","847,298","9,740,478","39,529,654"
LU,578,FYCu,Finchley Central,Station entry/exit,taps,"7,750","8,716","7,801","7,034","4,452","7,760","9,059","7,735","6,283","4,279","106,420","1,223,394","4,964,884"
